"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Full context"
"-итацдирт кеволеч йодолом -- кичзакссаР";"акорос";"Рассказчик -- молодой человек тридцати-";"сорока";" ";"лет";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Рассказчик -- молодой человек тридцати-сорока лет"
" акорос-итацдирт кеволеч йодолом -- кичзакссаР";"тел";"Рассказчик -- молодой человек тридцати-сорока ";"лет";"";"";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Рассказчик -- молодой человек тридцати-сорока лет"
"";"кичзакссаР";"";"Рассказчик";" ";"стоит вне ""ринга "", потом";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Рассказчик стоит вне ""ринга "", потом подходит к нему и после небольшой паузы шагает внутрь"
" кичзакссаР";"тиотс";"Рассказчик ";"стоит";" ";"вне ""ринга "", потом подходит";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Рассказчик стоит вне ""ринга "", потом подходит к нему и после небольшой паузы шагает внутрь"
" тиотс кичзакссаР";"енв";"Рассказчик стоит ";"вне";" ";"""ринга "", потом подходит к";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Рассказчик стоит вне ""ринга "", потом подходит к нему и после небольшой паузы шагает внутрь"
" енв тиотс кичзакссаР";"""";"Рассказчик стоит вне ";"""";"";"ринга "", потом подходит к нему";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Рассказчик стоит вне ""ринга "", потом подходит к нему и после небольшой паузы шагает внутрь"
""" енв тиотс кичзакссаР";"агнир";"Рассказчик стоит вне """;"ринга";" ";""", потом подходит к нему и";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Рассказчик стоит вне ""ринга "", потом подходит к нему и после небольшой паузы шагает внутрь"
" агнир"" енв тиотс кичзакссаР";"""";"Рассказчик стоит вне ""ринга ";"""";", ";"потом подходит к нему и после";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Рассказчик стоит вне ""ринга "", потом подходит к нему и после небольшой паузы шагает внутрь"
" ,"" агнир"" енв тиотс кичзакссаР";"мотоп";"Рассказчик стоит вне ""ринга "", ";"потом";" ";"подходит к нему и после небольшой";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Рассказчик стоит вне ""ринга "", потом подходит к нему и после небольшой паузы шагает внутрь"
" мотоп ,"" агнир"" енв тиотс";"тидохдоп";"стоит вне ""ринга "", потом ";"подходит";" ";"к нему и после небольшой паузы";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Рассказчик стоит вне ""ринга "", потом подходит к нему и после небольшой паузы шагает внутрь"
" тидохдоп мотоп ,"" агнир"" енв";"к";"вне ""ринга "", потом подходит ";"к";" ";"нему и после небольшой паузы шагает";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Рассказчик стоит вне ""ринга "", потом подходит к нему и после небольшой паузы шагает внутрь"
" к тидохдоп мотоп ,"" агнир""";"умен";"""ринга "", потом подходит к ";"нему";" ";"и после небольшой паузы шагает внутрь";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Рассказчик стоит вне ""ринга "", потом подходит к нему и после небольшой паузы шагает внутрь"
" умен к тидохдоп мотоп ,"" агнир";"и";"ринга "", потом подходит к нему ";"и";" ";"после небольшой паузы шагает внутрь";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Рассказчик стоит вне ""ринга "", потом подходит к нему и после небольшой паузы шагает внутрь"
" и умен к тидохдоп мотоп ,""";"елсоп";""", потом подходит к нему и ";"после";" ";"небольшой паузы шагает внутрь";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Рассказчик стоит вне ""ринга "", потом подходит к нему и после небольшой паузы шагает внутрь"
" елсоп и умен к тидохдоп мотоп";"йошьлобен";"потом подходит к нему и после ";"небольшой";" ";"паузы шагает внутрь";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Рассказчик стоит вне ""ринга "", потом подходит к нему и после небольшой паузы шагает внутрь"
" йошьлобен елсоп и умен к тидохдоп";"ызуап";"подходит к нему и после небольшой ";"паузы";" ";"шагает внутрь";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Рассказчик стоит вне ""ринга "", потом подходит к нему и после небольшой паузы шагает внутрь"
" ызуап йошьлобен елсоп и умен к";"теагаш";"к нему и после небольшой паузы ";"шагает";" ";"внутрь";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Рассказчик стоит вне ""ринга "", потом подходит к нему и после небольшой паузы шагает внутрь"
" теагаш ызуап йошьлобен елсоп и умен";"ьртунв";"нему и после небольшой паузы шагает ";"внутрь";"";"";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Рассказчик стоит вне ""ринга "", потом подходит к нему и после небольшой паузы шагает внутрь"
"";"И";"";"И";" ";"еще через небольшую паузу обращается к";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"И еще через небольшую паузу обращается к зрителям"
" И";"еще";"И ";"еще";" ";"через небольшую паузу обращается к зрителям";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"И еще через небольшую паузу обращается к зрителям"
" еще И";"зереч";"И еще ";"через";" ";"небольшую паузу обращается к зрителям";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"И еще через небольшую паузу обращается к зрителям"
" зереч еще И";"юушьлобен";"И еще через ";"небольшую";" ";"паузу обращается к зрителям";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"И еще через небольшую паузу обращается к зрителям"
" юушьлобен зереч еще И";"узуап";"И еще через небольшую ";"паузу";" ";"обращается к зрителям";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"И еще через небольшую паузу обращается к зрителям"
" узуап юушьлобен зереч еще И";"ястеащарбо";"И еще через небольшую паузу ";"обращается";" ";"к зрителям";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"И еще через небольшую паузу обращается к зрителям"
" ястеащарбо узуап юушьлобен зереч еще И";"к";"И еще через небольшую паузу обращается ";"к";" ";"зрителям";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"И еще через небольшую паузу обращается к зрителям"
" к ястеащарбо узуап юушьлобен зереч еще";"мялетирз";"еще через небольшую паузу обращается к ";"зрителям";"";"";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"И еще через небольшую паузу обращается к зрителям"
"";"кичзакссаР";"";"Рассказчик";"";"";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Рассказчик"
"";"месвоС";"";"Совсем";" ";"недавно я узнал";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Совсем недавно я узнал"
" месвоС";"онваден";"Совсем ";"недавно";" ";"я узнал";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Совсем недавно я узнал"
" онваден месвоС";"я";"Совсем недавно ";"я";" ";"узнал";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Совсем недавно я узнал"
" я онваден месвоС";"ланзу";"Совсем недавно я ";"узнал";"";"";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Совсем недавно я узнал"
"";"еенчоТ";"";"Точнее";"";"";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Точнее"
"";"еН";"";"Не";" ";"знаю, как сказать";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Не знаю, как сказать"
" еН";"юанз";"Не ";"знаю";", ";"как сказать";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Не знаю, как сказать"
" ,юанз еН";"как";"Не знаю, ";"как";" ";"сказать";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Не знаю, как сказать"
" как ,юанз еН";"ьтазакс";"Не знаю, как ";"сказать";"";"";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Не знаю, как сказать"
"";"Я";"";"Я";" ";"узнал такую вещь, которая меня не";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Я узнал такую вещь, которая меня не то чтобы огорчила или разочаровала"
" Я";"ланзу";"Я ";"узнал";" ";"такую вещь, которая меня не то";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Я узнал такую вещь, которая меня не то чтобы огорчила или разочаровала"
" ланзу Я";"юукат";"Я узнал ";"такую";" ";"вещь, которая меня не то чтобы";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Я узнал такую вещь, которая меня не то чтобы огорчила или разочаровала"
" юукат ланзу Я";"ьщев";"Я узнал такую ";"вещь";", ";"которая меня не то чтобы огорчила";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Я узнал такую вещь, которая меня не то чтобы огорчила или разочаровала"
" ,ьщев юукат ланзу Я";"яароток";"Я узнал такую вещь, ";"которая";" ";"меня не то чтобы огорчила или";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Я узнал такую вещь, которая меня не то чтобы огорчила или разочаровала"
" яароток ,ьщев юукат ланзу Я";"янем";"Я узнал такую вещь, которая ";"меня";" ";"не то чтобы огорчила или разочаровала";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Я узнал такую вещь, которая меня не то чтобы огорчила или разочаровала"
" янем яароток ,ьщев юукат ланзу Я";"ен";"Я узнал такую вещь, которая меня ";"не";" ";"то чтобы огорчила или разочаровала";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Я узнал такую вещь, которая меня не то чтобы огорчила или разочаровала"
" ен янем яароток ,ьщев юукат ланзу";"от";"узнал такую вещь, которая меня не ";"то";" ";"чтобы огорчила или разочаровала";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Я узнал такую вещь, которая меня не то чтобы огорчила или разочаровала"
" от ен янем яароток ,ьщев юукат";"ыботч";"такую вещь, которая меня не то ";"чтобы";" ";"огорчила или разочаровала";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Я узнал такую вещь, которая меня не то чтобы огорчила или разочаровала"
" ыботч от ен янем яароток ,ьщев";"аличрого";"вещь, которая меня не то чтобы ";"огорчила";" ";"или разочаровала";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Я узнал такую вещь, которая меня не то чтобы огорчила или разочаровала"
" аличрого ыботч от ен янем яароток";"или";"которая меня не то чтобы огорчила ";"или";" ";"разочаровала";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Я узнал такую вещь, которая меня не то чтобы огорчила или разочаровала"
" или аличрого ыботч от ен янем";"алаворачозар";"меня не то чтобы огорчила или ";"разочаровала";"";"";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Я узнал такую вещь, которая меня не то чтобы огорчила или разочаровала"
"";"илИ";"";"Или";" ";"удивила";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Или удивила"
" илИ";"аливиду";"Или ";"удивила";"";"";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Или удивила"
"";"еН";"";"Не";" ";"знаю";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Не знаю"
" еН";"юанз";"Не ";"знаю";"";"";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"Не знаю"
"";"И";"";"И";" ";"вот тут надо обязательно объяснять, потому";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"И вот тут надо обязательно объяснять, потому что может показаться, что то, о чем я буду говорить, это для меня очень важно"
" И";"тов";"И ";"вот";" ";"тут надо обязательно объяснять, потому что";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"И вот тут надо обязательно объяснять, потому что может показаться, что то, о чем я буду говорить, это для меня очень важно"
" тов И";"тут";"И вот ";"тут";" ";"надо обязательно объяснять, потому что может";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"И вот тут надо обязательно объяснять, потому что может показаться, что то, о чем я буду говорить, это для меня очень важно"
" тут тов И";"одан";"И вот тут ";"надо";" ";"обязательно объяснять, потому что может показаться";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"И вот тут надо обязательно объяснять, потому что может показаться, что то, о чем я буду говорить, это для меня очень важно"
" одан тут тов И";"оньлетазябо";"И вот тут надо ";"обязательно";" ";"объяснять, потому что может показаться, что";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"И вот тут надо обязательно объяснять, потому что может показаться, что то, о чем я буду говорить, это для меня очень важно"
" оньлетазябо одан тут тов И";"ьтянсяъбо";"И вот тут надо обязательно ";"объяснять";", ";"потому что может показаться, что то";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"И вот тут надо обязательно объяснять, потому что может показаться, что то, о чем я буду говорить, это для меня очень важно"
" ,ьтянсяъбо оньлетазябо одан тут тов И";"умотоп";"И вот тут надо обязательно объяснять, ";"потому";" ";"что может показаться, что то, о";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"И вот тут надо обязательно объяснять, потому что может показаться, что то, о чем я буду говорить, это для меня очень важно"
" умотоп ,ьтянсяъбо оньлетазябо одан тут тов";"отч";"вот тут надо обязательно объяснять, потому ";"что";" ";"может показаться, что то, о чем";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"И вот тут надо обязательно объяснять, потому что может показаться, что то, о чем я буду говорить, это для меня очень важно"
" отч умотоп ,ьтянсяъбо оньлетазябо одан тут";"тежом";"тут надо обязательно объяснять, потому что ";"может";" ";"показаться, что то, о чем я";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"И вот тут надо обязательно объяснять, потому что может показаться, что то, о чем я буду говорить, это для меня очень важно"
" тежом отч умотоп ,ьтянсяъбо оньлетазябо одан";"ясьтазакоп";"надо обязательно объяснять, потому что может ";"показаться";", ";"что то, о чем я буду";"Евгений Гришковец. ОдноврЕмЕнно (2004)";"Евгений Гришковец";"1967";"ОдноврЕмЕнно";"2004";"художественная";"пьеса";"";"Е. Гришковец. Город: Сб. пьес";"2001";"книга";"омонимия снята вручную";"И вот тут надо обязательно объяснять, потому что может показаться, что то, о чем я буду говорить, это для меня очень важно"
